Gene	mat_SRR307069	pat_SRR307069	mat_SRR307070	pat_SRR307070	pat_SRR307074	mat_SRR307074	pat_SRR307075	mat_SRR307075	pat_SRR307076	mat_SRR307076
AT1G01060	4	2	3	0	0	2	0	2	0	0
AT1G01225	12	8	12	5	9	13	6	8	9	17
AT1G01230	2	0	2	0	1	2	0	0	2	2
AT1G01240	3	1	1	2	2	1	2	2	1	5
AT1G01250	2	0	7	0	2	0	0	0	2	1
AT1G01260	37	20	96	40	14	29	19	24	44	109
AT1G01290	15	7	25	14	6	15	6	10	11	49
AT1G01300	20	11	56	14	13	14	12	23	20	30
AT1G01320	15	4	26	9	4	8	4	12	5	20
AT1G01430	15	8	42	13	7	16	3	11	17	35
AT1G01440	2	1	4	1	2	3	1	3	1	2
AT1G01448	3	1	3	3	0	1	0	1	0	5
AT1G01450	4	2	11	8	2	6	3	1	4	7
AT1G01490	1	0	3	0	1	1	0	2	0	2
AT1G01710	0	3	6	3	0	0	0	0	1	9
AT1G01720	54	21	86	45	19	35	15	36	43	103
AT1G01730	27	7	40	18	8	16	6	12	10	33
AT1G01760	2	0	1	0	0	0	0	0	1	1
AT1G01770	6	1	7	1	0	7	0	4	1	8
AT1G01780	5	2	2	0	1	4	0	4	2	5
AT1G01790	17	7	43	23	4	18	7	7	22	41
AT1G01800	2	2	5	1	1	3	1	0	3	3
AT1G02080	4	4	8	4	4	11	2	3	5	11
AT1G02305	24	10	38	13	3	10	5	16	9	21
AT1G02380	0	1	4	0	0	2	0	1	0	5
AT1G02650	10	4	27	6	4	4	2	3	17	11
AT1G02660	23	3	42	13	3	7	3	10	9	29
AT1G02670	2	0	1	0	1	3	0	1	0	2
AT1G02680	37	16	76	25	13	23	20	23	37	67
AT1G02690	26	8	63	26	5	14	17	18	28	55
AT1G02700	1	0	2	0	0	0	0	0	0	0
AT1G02720	104	5	202	16	5	87	7	67	20	234
AT1G02740	3	2	10	10	1	2	0	0	7	4
AT1G02770	101	41	236	95	44	111	30	83	118	288
AT1G02780	1164	539	2928	1288	492	990	390	866	1266	2630
AT1G02790	6	1	10	1	0	28	0	18	3	57
AT1G02800	3	1	4	0	0	1	1	0	0	1
AT1G02810	2	0	7	4	0	1	0	1	2	5
AT1G02840	1	0	7	2	2	1	0	1	1	2
AT1G02860	3	3	8	7	2	8	1	5	6	11
AT1G02870	2	0	10	3	2	8	0	4	4	14
AT1G02890	166	57	388	160	76	143	71	116	174	372
AT1G02910	11	5	18	5	5	6	3	5	11	11
AT1G02930	2	0	12	0	0	4	0	0	0	1
AT1G02940	5	2	12	2	4	0	4	3	9	1
AT1G02970	18	11	30	30	5	25	6	21	22	37
AT1G02980	27	17	79	51	13	44	16	30	39	95
AT1G02990	2	1	3	0	0	3	0	1	0	1
AT1G03030	12	9	46	11	7	3	5	6	10	20
AT1G03055	23	14	47	26	15	32	9	25	39	68
AT1G03060	2	0	3	2	0	2	0	1	1	6
AT1G03070	4	2	11	2	0	2	1	4	9	11
AT1G03080	18	8	57	18	10	11	11	25	30	59
AT1G03090	13	10	29	17	8	14	3	14	19	36
AT1G03103	2	0	1	0	0	0	0	0	0	0
AT1G03106	3	2	8	0	1	3	0	0	5	5
AT1G03110	6	2	8	6	3	3	4	4	7	8
AT1G03130	2	2	9	8	0	5	1	1	4	13
AT1G03140	22	11	42	13	6	21	5	15	13	34
AT1G03150	0	1	0	0	1	0	0	0	0	1
AT1G03160	19	12	21	18	4	20	1	14	13	27
AT1G03180	0	1	0	0	0	0	0	0	1	1
AT1G03190	8	1	9	5	4	10	3	4	8	27
AT1G03210	19	13	30	12	5	24	7	25	13	26
AT1G03260	0	2	1	0	0	3	0	2	0	1
AT1G03290	2	2	2	2	3	3	4	1	4	4
AT1G03370	0	1	6	3	1	3	4	1	1	10
AT1G04120	28	10	63	29	19	18	12	14	31	51
