Gene	mat_SRR068962	pat_SRR068962	mat_SRR068963	pat_SRR068963	mat_SRR068964	pat_SRR068964	mat_SRR068968	pat_SRR068968	mat_SRR068969	pat_SRR068969	mat_SRR068970	pat_SRR068970	mat_SRR068971	pat_SRR068971	mat_SRR068972	pat_SRR068972	mat_SRR068973	pat_SRR068973	mat_SRR068974	pat_SRR068974	pat_SRR068984	mat_SRR068984	pat_SRR068985	mat_SRR068985	pat_SRR068986	mat_SRR068986	pat_SRR068987	mat_SRR068987	pat_SRR068988	mat_SRR068988	pat_SRR068989	mat_SRR068989	pat_SRR068990	mat_SRR068990
AT1G01225	1	0	1	1	1	0	1	1	3	2	4	1	7	3	0	0	3	7	1	2	0	7	1	3	2	2	3	5	1	2	5	2	4	3
AT1G01260	9	4	9	0	3	4	10	7	23	8	20	13	36	15	32	14	23	15	25	8	9	24	8	30	13	37	17	54	14	58	16	60	23	59
AT1G01290	2	0	3	1	3	1	7	2	9	6	7	6	13	4	14	2	10	3	10	3	1	7	3	13	4	13	3	13	6	13	2	10	8	13
AT1G01300	8	3	5	0	4	6	38	26	41	24	50	16	40	21	39	19	44	23	44	23	15	47	29	58	17	57	24	68	9	32	16	30	11	46
AT1G01320	2	0	1	0	1	0	14	7	15	14	8	4	11	12	7	5	12	9	10	9	1	10	5	9	1	9	11	28	14	23	13	30	9	23
AT1G01450	2	0	0	0	1	0	5	2	4	1	5	2	3	3	5	3	3	2	3	0	1	4	5	7	5	1	2	2	2	1	1	2	2	3
AT1G01720	5	1	2	0	3	2	92	62	126	66	125	70	94	60	61	47	61	39	66	47	30	88	45	106	46	96	49	213	44	202	36	189	46	229
AT1G01770	0	1	0	1	0	0	0	0	2	1	1	0	4	2	2	1	0	0	6	1	0	0	0	0	0	2	1	2	0	2	2	2	1	2
AT1G01790	4	1	3	1	4	1	5	2	7	10	7	3	10	4	4	6	7	8	13	0	1	4	4	4	1	4	9	11	3	11	5	9	6	13
AT1G01800	1	1	0	0	0	0	0	4	0	2	1	0	1	7	2	3	3	2	1	2	0	0	0	3	0	1	3	10	1	10	5	13	2	10
AT1G02080	7	1	2	3	6	1	0	0	5	0	5	3	10	3	17	7	9	6	10	4	0	3	2	4	1	9	9	21	2	7	10	16	7	17
AT1G02650	0	1	1	0	1	0	0	0	2	0	1	0	2	2	1	2	1	1	3	2	3	2	4	6	7	4	0	3	1	3	2	3	2	2
AT1G02660	3	0	4	0	1	1	71	5	80	12	87	10	91	4	90	6	85	3	82	5	15	31	12	41	21	60	13	284	9	174	14	228	7	229
AT1G02680	6	1	2	0	3	0	42	4	47	8	41	10	102	21	84	11	78	20	79	12	20	21	19	18	20	21	33	19	35	25	31	29	31	28
AT1G02690	2	1	1	2	4	0	10	3	9	4	5	2	3	4	5	2	3	4	3	1	6	2	4	2	5	4	8	12	6	5	7	8	3	9
AT1G02720	5	0	1	4	5	1	73	11	79	13	79	7	261	17	207	26	200	15	215	11	9	119	5	159	3	152	20	241	20	243	16	235	11	278
AT1G02740	1	0	1	0	0	0	0	0	0	0	1	0	3	1	1	0	3	0	3	1	1	0	0	1	1	0	0	1	2	5	0	2	1	6
AT1G02770	8	11	14	12	12	12	33	23	43	19	33	30	46	39	54	23	51	28	34	18	12	44	27	67	21	52	22	89	12	71	11	74	16	87
AT1G02780	98	33	116	33	113	33	812	224	1003	286	1002	287	759	205	604	170	559	175	607	179	332	364	476	474	485	512	458	615	372	574	387	563	396	571
AT1G02790	0	1	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	2	0	0	10	2	20	5	11	4	2	0	0	0	2	0	4	0
AT1G02800	0	1	0	0	1	0	3	0	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	3	2	1	3
AT1G02860	0	3	3	1	2	1	2	4	2	2	1	1	8	1	3	0	2	0	6	0	1	0	0	2	1	1	0	7	1	6	1	5	0	10
AT1G02870	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	2	0	1	0	0	1	0	1	0	2	0	0
AT1G02890	18	13	18	12	21	9	69	25	72	27	81	40	199	58	124	59	166	37	142	51	24	60	44	69	40	90	71	177	50	155	74	150	78	178
AT1G02910	1	0	0	0	1	1	0	0	1	0	0	0	1	2	0	1	3	1	1	0	0	0	0	0	0	2	1	2	1	4	4	1	0	3
AT1G02940	2	0	2	0	0	0	3	2	4	0	1	0	11	0	7	0	6	0	6	0	1	0	0	1	1	1	1	0	1	1	4	0	0	0
AT1G02970	10	1	3	0	5	1	5	1	7	6	11	5	5	0	3	1	4	0	0	0	5	5	3	9	5	7	5	6	9	9	5	9	1	6
AT1G02980	58	26	66	16	76	24	7	6	9	4	14	7	0	0	0	0	1	0	0	0	6	13	14	25	13	26	11	18	12	20	15	28	8	15
AT1G03030	2	0	1	0	3	0	13	2	15	4	22	7	30	1	13	4	16	4	22	2	6	12	10	10	9	9	4	11	8	5	8	12	15	16
AT1G03040	2	1	2	3	3	2	13	6	9	4	4	7	26	11	19	8	16	6	16	5	2	6	6	10	6	7	4	19	9	17	10	23	7	15
AT1G03050	0	1	0	0	0	0	0	1	0	0	0	0	2	2	4	1	1	1	1	1	3	3	2	5	1	4	0	4	0	1	0	0	0	0
AT1G03060	6	5	7	3	8	1	24	9	14	6	26	9	17	6	16	2	5	7	15	5	10	11	8	21	9	20	4	18	2	8	4	8	2	7
AT1G03070	4	1	5	0	9	2	62	9	69	18	76	10	62	8	44	6	45	3	35	8	20	51	26	47	39	44	10	45	5	42	8	32	11	28
AT1G03080	5	0	7	3	7	3	32	24	36	19	36	26	93	43	73	37	76	40	56	34	22	45	21	54	17	55	44	100	41	107	35	85	45	92
AT1G03090	9	1	14	4	5	4	57	25	82	26	68	20	96	20	77	17	91	10	78	15	29	41	36	52	36	42	45	104	26	103	24	89	34	84
AT1G03110	1	1	0	1	1	1	4	0	3	0	3	0	9	5	10	5	11	1	10	4	1	3	1	1	3	0	7	12	7	6	5	7	6	10
AT1G03130	0	1	0	0	0	1	1	3	1	0	2	1	22	18	17	15	27	14	10	15	1	4	1	1	1	2	16	28	12	33	19	48	26	45
AT1G03140	2	1	0	0	3	1	8	6	10	11	15	9	19	14	18	6	15	6	18	5	4	10	4	10	4	8	14	41	8	38	8	42	11	41
AT1G03150	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	5	0	3	0	2	0	1
AT1G03160	1	1	2	2	1	5	7	1	7	5	8	6	20	6	15	4	14	3	15	3	7	5	1	4	6	6	5	11	7	12	4	20	9	7
AT1G03190	1	1	1	1	1	0	0	1	0	1	1	5	5	1	4	2	3	1	1	0	1	4	0	4	1	2	0	14	4	6	4	6	3	9
AT1G03260	0	1	1	1	1	1	0	1	1	3	0	2	1	1	1	0	1	0	1	1	0	1	1	2	0	1	0	2	1	2	1	1	1	1
AT1G04120	11	4	9	0	6	5	11	3	19	6	9	9	44	16	29	19	25	5	24	18	3	12	8	20	7	23	25	44	17	35	18	42	23	50
AT1G04140	6	0	11	7	10	1	7	8	10	4	13	7	16	7	19	4	13	6	10	2	3	5	8	12	3	4	8	21	5	11	8	14	2	26
AT1G04170	2	0	3	0	4	1	4	3	9	0	3	4	16	7	8	4	8	7	7	2	5	1	2	7	3	1	4	14	4	23	5	16	7	15
AT1G04210	1	0	0	0	2	0	2	3	6	0	1	1	3	7	7	7	5	3	8	5	1	0	0	2	0	1	1	9	3	21	2	15	6	20
AT1G04260	8	2	6	1	5	5	14	7	22	11	22	13	4	2	10	3	7	0	5	2	10	15	9	28	12	18	4	6	4	16	7	14	3	20
AT1G04270	7	2	5	4	2	4	17	4	25	15	23	10	34	13	26	13	30	9	29	16	11	16	14	16	13	16	25	37	20	31	23	29	22	30
AT1G04295	1	0	0	0	0	0	0	1	1	2	5	2	8	0	3	1	4	0	4	0	1	3	3	5	5	3	2	3	2	4	1	4	2	4
AT1G04340	1	0	2	0	0	0	0	2	1	1	2	0	0	0	2	0	1	0	3	1	0	1	0	1	1	0	0	1	1	1	0	1	0	2
AT1G04380	30	16	23	10	26	12	118	48	145	74	147	48	166	41	123	40	105	30	124	40	60	87	77	115	72	106	65	79	52	93	70	113	61	83
AT1G04390	1	0	0	2	1	0	0	2	1	3	4	1	6	0	4	1	2	2	2	1	1	1	4	5	1	4	2	5	1	2	0	1	2	1
AT1G04410	6	5	6	2	8	4	15	6	7	6	17	2	30	13	37	9	28	11	36	10	7	7	6	12	11	11	28	25	20	55	29	46	16	57
AT1G04420	0	4	0	0	0	0	4	3	7	3	2	8	9	22	11	7	6	11	9	9	3	7	2	4	3	9	9	20	9	26	7	35	8	26
