Gene	pat_SRR1039928	mat_SRR1039928	mat_SRR1039929	pat_SRR1039929	pat_SRR1508238	mat_SRR1508238	mat_SRR1508239	pat_SRR1508239	pat_SRR1508240	mat_SRR1508240	mat_SRR1508241	pat_SRR1508241
AT1G01150	0	2	9	4	0	0	0	0	0	0	0	0
AT1G01225	33	68	134	64	82	155	185	82	199	318	301	66
AT1G01230	7	9	26	13	0	0	0	23	0	0	23	0
AT1G01240	4	16	42	9	34	99	41	31	37	228	27	79
AT1G01250	2	10	0	0	1	1	0	0	38	270	25	0
AT1G01260	228	411	788	319	426	714	1217	424	565	757	667	233
AT1G01290	32	82	161	73	56	107	56	88	14	156	51	7
AT1G01300	190	322	886	360	346	565	1142	370	605	1195	675	338
AT1G01320	59	152	267	152	288	393	411	189	179	339	247	170
AT1G01420	1	2	9	3	0	21	0	2	17	31	0	12
AT1G01430	92	200	318	185	109	268	202	142	112	194	235	165
AT1G01440	8	12	27	10	0	0	24	22	0	9	35	0
AT1G01448	10	24	42	19	22	66	30	62	58	63	16	20
AT1G01450	38	74	124	34	36	152	49	8	31	181	33	32
AT1G01453	0	1	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	1	0	0	0	0	0	0	0	0	0	0
AT1G01490	1	5	23	2	0	62	18	0	34	121	57	10
AT1G01710	8	10	21	9	0	25	33	0	17	21	0	0
AT1G01720	116	251	913	384	387	264	922	518	555	1395	697	369
AT1G01730	77	169	376	188	143	86	277	74	39	79	270	47
AT1G01740	0	1	3	1	0	0	0	0	0	0	0	0
AT1G01750	0	1	4	3	0	0	8	0	0	0	0	0
AT1G01760	6	10	26	7	0	0	0	0	0	0	0	0
AT1G01770	22	39	52	57	7	56	84	10	50	2	97	41
AT1G01780	4	7	4	8	0	0	4	0	0	0	0	7
AT1G01790	56	107	236	154	115	154	171	88	45	156	135	62
AT1G01800	6	28	53	31	99	0	79	15	38	0	83	12
AT1G02080	37	73	165	55	56	30	104	40	36	44	88	34
AT1G02090	0	1	1	3	0	0	0	0	22	16	7	0
AT1G02260	1	0	1	0	0	0	0	0	0	0	0	0
AT1G02290	5	9	10	1	0	0	13	0	15	0	5	0
AT1G02305	46	134	219	129	30	97	131	15	1	25	100	20
AT1G02380	0	4	18	9	0	0	10	0	0	0	0	0
AT1G02640	0	4	9	0	0	77	22	0	0	0	0	0
AT1G02650	94	70	240	47	79	86	46	43	126	138	97	40
AT1G02660	23	103	425	66	24	57	264	1	57	250	214	48
AT1G02670	12	12	33	6	0	99	58	31	12	94	31	22
AT1G02680	111	184	410	123	98	147	118	87	84	111	248	90
AT1G02690	103	185	446	201	100	201	263	149	50	146	107	67
AT1G02700	1	0	15	0	0	0	0	0	0	0	0	0
AT1G02710	0	5	18	0	0	0	0	0	0	0	8	0
AT1G02720	57	790	857	159	92	210	240	73	41	1095	944	59
AT1G02740	11	32	26	19	51	157	176	59	54	196	209	55
AT1G02770	345	700	1494	749	580	1023	864	519	364	880	782	287
AT1G02780	4765	9502	19345	8547	7987	12900	15888	7058	5837	11732	17231	6924
AT1G02790	2	1	13	11	0	0	0	0	0	0	8	0
AT1G02800	5	3	46	16	0	0	31	0	5	0	22	0
AT1G02810	9	17	49	29	35	0	46	24	16	12	0	19
AT1G02840	8	5	23	5	0	24	50	0	27	119	11	13
AT1G02850	2	13	11	14	0	0	0	0	0	0	0	0
AT1G02860	18	37	80	43	0	86	31	22	0	0	17	0
AT1G02870	7	28	35	27	35	120	184	56	36	159	86	86
AT1G02890	617	1296	3089	1237	1145	2347	2619	810	1147	1293	1589	622
AT1G02910	33	69	144	62	23	61	65	45	35	75	72	71
AT1G02930	0	29	111	1	0	131	355	0	0	0	100	0
AT1G02940	10	8	195	20	74	76	195	21	33	0	48	8
AT1G02970	89	165	285	174	166	439	439	78	113	251	184	75
AT1G02980	121	257	1100	585	367	1291	1343	1049	98	289	87	27
AT1G02990	1	7	14	4	0	0	0	23	0	15	0	0
AT1G03030	65	59	176	58	83	285	422	43	106	180	297	107
AT1G03040	2	6	8	5	0	0	8	3	0	0	6	11
AT1G03050	1	2	7	6	0	28	0	0	0	0	12	0
AT1G03055	120	413	248	278	0	206	186	112	93	190	168	99
AT1G03060	9	47	65	15	0	24	38	32	0	0	42	15
