Gene	mat_SRR364453	pat_SRR364453	pat_SRR364454	mat_SRR364454	mat_SRR415002	pat_SRR415002	pat_SRR415003	mat_SRR415003
AC148152.3_FG006	1	0	0	0	1	0	0	0
AC148152.3_FG008	1	0	4	4	1	0	4	4
AC148167.6_FG001	172	590	514	82	165	562	497	80
AC149475.2_FG002	2006	170	1064	225	1894	161	1023	210
AC149475.2_FG003	668	278	432	527	637	268	421	506
AC149475.2_FG005	515	241	370	594	489	233	346	573
AC149475.2_FG007	69	29	32	80	66	27	31	76
AC149818.2_FG005	19	3	24	7	17	2	22	7
AC149818.2_FG006	98	44	246	33	92	43	231	31
AC149818.2_FG007	52	13	13	22	52	12	13	21
AC149818.2_FG009	19	0	3	4	19	0	3	3
AC149828.2_FG002	372	217	164	429	354	206	158	417
AC149829.2_FG002	3881	1009	1438	2785	3763	983	1390	2704
AC149829.2_FG003	291	188	126	445	274	182	121	422
AC149829.2_FG006	939	501	570	1184	889	474	543	1130
AC150739.3_FG001	107	52	51	133	104	50	48	127
AC152495.1_FG002	1	1	0	0	1	0	0	0
AC152495.1_FG010	4	0	0	1	4	0	0	1
AC152495.1_FG012	7	31	10	103	6	29	9	100
AC152495.1_FG017	2	0	1	0	2	0	1	0
AC155376.2_FG004	56	18	51	138	55	17	49	133
AC155376.2_FG005	154	139	72	216	149	132	70	207
AC155377.1_FG001	503	316	389	712	486	300	380	675
AC155390.2_FG002	38	12	18	24	35	11	17	24
AC155434.2_FG001	2	1	0	2	2	1	0	2
AC155434.2_FG004	1522	515	880	1316	1453	486	844	1269
AC155434.2_FG005	5	62	2	148	4	59	2	143
AC155496.2_FG009	1640	720	910	1686	1570	703	884	1619
AC155622.2_FG001	472	326	307	649	446	308	301	621
AC155622.2_FG004	199	111	151	367	193	107	142	354
AC155624.2_FG006	147	102	86	135	142	99	83	128
AC159612.1_FG007	9	5	18	35	9	5	18	34
AC165171.2_FG002	1	0	0	0	0	0	0	0
AC166636.1_FG007	3	8	0	10	3	8	0	10
AC166636.1_FG008	31	13	11	35	31	12	11	33
AC166636.1_FG009	4	5	5	1	4	5	5	1
AC177850.2_FG003	1	14	2	35	1	14	2	34
AC177850.2_FG005	269	60	157	126	253	59	150	114
AC177897.2_FG002	32	13	21	52	31	13	18	50
AC177899.2_FG009	15	4	9	23	14	4	9	22
AC177908.3_FG002	240	133	145	253	233	128	139	243
AC182482.3_FG003	3	55	3	93	2	52	2	88
AC182617.3_FG001	138	16	84	46	133	14	80	44
AC183315.4_FG006	0	2	5	8	0	2	5	8
AC183932.3_FG007	620	237	398	611	592	230	381	582
AC183950.2_FG004	22	5	12	6	22	5	12	6
AC183950.2_FG005	61	20	36	58	59	18	30	56
AC183968.2_FG001	76	0	41	0	74	0	36	0
AC184130.4_FG012	4	8	6	17	4	8	5	17
AC184169.3_FG001	51	10	34	43	51	9	33	43
AC184170.4_FG002	0	1	2	3	0	1	2	3
AC184794.2_FG003	4	0	13	16	4	0	12	16
AC185108.3_FG010	3	7	0	17	3	6	0	16
AC185300.4_FG002	27	7	11	22	23	7	11	21
AC185471.3_FG005	2	0	2	0	2	0	2	0
AC185475.3_FG001	1	5	0	4	1	5	0	4
AC185501.3_FG001	1	0	1	0	1	0	1	0
AC185588.2_FG002	4	0	6	9	4	0	6	9
AC185593.3_FG003	1	4	2	3	1	4	2	3
AC186493.4_FG002	14	0	8	0	13	0	8	0
AC186606.4_FG003	2	0	0	0	2	0	0	0
AC186669.3_FG002	1	0	0	2	1	0	0	2
AC186897.4_FG016	1	0	0	0	1	0	0	0
AC187080.3_FG006	0	2	0	0	0	2	0	0
AC187080.3_FG007	0	5	1	21	0	5	1	21
AC187090.3_FG011	4	0	0	1	4	0	0	1
AC187157.4_FG002	517	359	323	860	498	343	307	827
AC187157.4_FG005	1	1	5	1	1	1	5	1
AC187160.3_FG003	4	0	0	0	3	0	0	0
AC187207.3_FG006	6	2	2	1	6	1	2	1
AC187262.4_FG007	595	50	277	82	574	50	276	77
AC187263.4_FG001	15	0	10	0	13	0	10	0
AC187393.3_FG001	2	2	0	4	2	2	0	4
AC187551.3_FG002	91	47	75	175	86	44	72	163
AC187843.3_FG006	3	0	1	1	3	0	1	1
AC188003.3_FG012	41	4	100	71	40	4	94	66
AC188023.3_FG005	342	220	205	425	326	211	188	414
AC188023.3_FG011	4	0	0	0	4	0	0	0
AC188036.3_FG003	1	0	0	0	1	0	0	0
AC188583.4_FG003	0	1	0	1	0	1	0	1
AC188721.3_FG001	2	0	0	0	2	0	0	0
AC188831.3_FG005	18	0	8	0	17	0	8	0
AC188838.3_FG005	137	40	86	112	129	38	83	108
AC189750.4_FG004	231	258	129	662	219	246	122	630
AC189795.3_FG001	1	0	0	1	1	0	0	1
AC189879.3_FG003	2	19	2	41	2	17	2	38
AC190491.1_FG002	4	0	2	0	3	0	1	0
AC190526.3_FG004	4	0	1	0	3	0	1	0
