Gene	mat_SRR924077	pat_SRR924077	pat_SRR924078	mat_SRR924078
AC148152.3_FG008	4	0	0	0
AC148167.6_FG001	137	290	235	101
AC149475.2_FG002	1034	148	514	245
AC149475.2_FG003	2181	1109	791	2016
AC149475.2_FG005	240	132	186	431
AC149475.2_FG007	106	68	70	260
AC149818.2_FG005	1	0	2	2
AC149818.2_FG006	105	34	162	136
AC149818.2_FG007	37	4	7	36
AC149818.2_FG009	11	0	0	5
AC149828.2_FG002	873	290	508	1193
AC149829.2_FG002	2839	609	721	724
AC149829.2_FG003	204	202	221	738
AC149829.2_FG004	3	0	0	0
AC149829.2_FG006	649	216	311	979
AC150739.3_FG001	49	29	68	125
AC152495.1_FG012	9	19	7	64
AC152495.1_FG017	4	0	0	0
AC155376.2_FG004	36	22	12	44
AC155376.2_FG005	51	34	17	49
AC155377.1_FG001	152	88	111	337
AC155390.2_FG002	42	29	23	50
AC155434.2_FG004	767	494	377	1263
AC155434.2_FG005	49	36	5	163
AC155496.2_FG009	1138	615	646	1664
AC155622.2_FG001	401	218	177	539
AC155622.2_FG004	249	175	193	332
AC155624.2_FG006	11	11	30	111
AC159612.1_FG007	121	38	95	222
AC165171.2_FG002	18	0	0	51
AC166636.1_FG007	13	56	0	36
AC166636.1_FG008	13	5	4	7
AC166636.1_FG009	1	0	1	2
AC177850.2_FG005	65	5	16	35
AC177897.2_FG002	31	24	22	32
AC177899.2_FG009	6	1	2	27
AC177908.3_FG002	261	58	239	340
AC182482.3_FG003	40	9	0	71
AC182617.3_FG001	75	20	55	92
AC183315.4_FG006	6	6	0	24
AC183412.5_FG005	2	1	0	0
AC183932.3_FG007	125	90	107	179
AC183950.2_FG004	1	0	3	0
AC183950.2_FG005	29	6	6	20
AC183968.2_FG001	117	0	117	0
AC184130.4_FG012	24	23	4	48
AC184169.3_FG001	22	2	3	9
AC184170.4_FG002	0	4	0	0
AC184794.2_FG003	19	9	24	14
AC185108.3_FG010	10	1	1	3
AC185300.4_FG002	22	2	6	13
AC185427.5_FG004	0	2	0	6
AC185475.3_FG001	7	8	0	11
AC185593.3_FG003	6	6	0	4
AC185611.3_FG001	1	2	1	0
AC186166.3_FG008	4	2	3	3
AC186231.4_FG002	4	0	2	292
AC186493.4_FG002	1	0	0	0
AC186592.3_FG003	0	2	0	1
AC186603.6_FG003	11	0	0	13
AC186606.4_FG003	5	0	0	16
AC186743.4_FG003	1	0	0	0
AC187090.3_FG011	5	2	7	12
