Gene	mat_SRR396678	pat_SRR396678	pat_SRR396679	mat_SRR396679
AC148152.3_FG005	1	0	0	2
AC148167.6_FG001	62	138	54	15
AC149475.2_FG002	376	45	192	31
AC149475.2_FG003	382	148	135	147
AC149475.2_FG005	68	44	23	33
AC149475.2_FG007	69	26	20	19
AC149818.2_FG005	11	0	3	1
AC149818.2_FG006	104	80	112	20
AC149818.2_FG007	8	4	2	5
AC149818.2_FG009	1	0	0	0
AC149828.2_FG002	655	402	202	535
AC149829.2_FG002	1283	367	339	377
AC149829.2_FG003	237	112	33	103
AC149829.2_FG006	142	100	56	115
AC150739.3_FG001	41	16	13	19
AC152495.1_FG012	6	15	3	14
AC152495.1_FG017	4	0	0	0
AC155376.2_FG004	1	1	1	5
AC155376.2_FG005	32	46	7	33
AC155377.1_FG001	185	100	64	83
AC155390.2_FG002	11	11	0	6
AC155434.2_FG004	222	170	86	111
AC155434.2_FG005	3	2	1	9
AC155496.2_FG009	425	199	135	232
AC155622.2_FG001	91	63	30	63
AC155622.2_FG004	45	31	16	31
AC155624.2_FG006	84	72	38	68
AC159612.1_FG007	11	12	5	16
AC165171.2_FG002	2	0	0	0
AC166636.1_FG008	11	11	2	4
AC166636.1_FG009	2	2	0	0
AC177831.3_FG004	1	0	0	0
AC177850.2_FG003	0	4	0	2
AC177850.2_FG005	223	58	78	51
AC177897.2_FG002	42	14	11	17
AC177899.2_FG009	2	0	0	0
AC177908.3_FG002	68	24	13	25
AC182482.3_FG003	7	13	1	9
AC182617.3_FG001	15	9	6	11
AC183315.4_FG006	2	3	0	3
AC183412.5_FG005	0	1	0	0
AC183932.3_FG007	74	48	46	79
AC183950.2_FG004	9	1	1	0
AC183950.2_FG005	15	8	6	3
AC183968.2_FG001	9	0	4	0
AC184130.4_FG012	11	9	1	2
AC184169.3_FG001	23	6	7	2
AC184794.2_FG003	8	1	0	0
AC185108.3_FG010	4	0	0	1
AC185300.4_FG002	3	2	1	0
AC185471.3_FG005	6	1	4	0
AC185475.3_FG001	0	2	1	2
AC185588.2_FG002	2	0	0	0
AC185593.3_FG003	5	1	1	3
AC185611.3_FG001	1	0	0	0
AC186231.4_FG002	1	0	0	2
AC186233.3_FG007	6	0	0	0
AC186287.7_FG005	0	1	0	0
AC186592.3_FG003	0	1	0	0
AC187157.4_FG002	249	144	101	226
AC187160.3_FG003	4	0	0	0
AC187262.4_FG007	1965	125	269	124
AC187551.3_FG002	43	14	11	22
AC187809.3_FG005	0	1	0	0
AC188003.3_FG012	229	108	2	6
AC188023.3_FG005	296	186	156	320
AC188036.3_FG003	1	0	0	0
AC188583.4_FG003	0	1	0	0
AC188831.3_FG005	6	0	4	0
AC188838.3_FG005	39	12	13	17
AC189750.4_FG004	17	35	37	92
AC189795.3_FG001	2	2	0	0
AC189879.3_FG003	6	4	3	2
AC190491.1_FG002	4	0	0	0
AC190526.3_FG004	6	0	0	0
AC190587.3_FG005	1	0	0	0
AC190609.3_FG002	5302	2257	1608	3032
AC190623.3_FG001	49	18	40	40
AC190628.4_FG007	16	3	20	22
AC190701.3_FG001	9	0	0	0
AC190788.2_FG005	4	0	0	1
AC190792.2_FG006	22	0	14	0
AC190841.2_FG007	11	10	4	7
AC190933.3_FG004	141	18	74	25
AC191009.3_FG004	8	1	0	0
AC191050.3_FG003	1	1	0	1
AC191069.3_FG004	285	331	113	330
AC191113.2_FG002	50	20	15	34
AC191251.3_FG005	22	11	7	15
AC191360.3_FG004	2	8	0	13
AC191421.3_FG001	2	0	0	0
AC191534.3_FG003	0	23	17	0
AC191676.3_FG011	5	3	0	5
AC191704.3_FG007	8	0	0	0
